@relation df
@attribute SibSp numeric
@attribute Parch numeric
@attribute Class.1 numeric
@attribute Class.2 numeric
@attribute Class.3 numeric
@attribute Gender numeric
@attribute Fare numeric
@attribute Embarked.C numeric
@attribute Embarked.Q numeric
@attribute Embarked.S numeric
@attribute Child numeric
@attribute Adult numeric
@attribute Age.NA numeric
@attribute Survived {0,1}
@data
0,0,0,1,0,1,11.5,0,0,1,0,1,0,0
1,1,0,1,0,1,36.75,0,0,1,0,1,0,0
0,0,0,0,1,1,7.7958,0,0,1,0,1,0,1
2,2,0,0,1,0,34.375,0,0,1,0,1,0,0
0,2,0,1,0,1,26,0,0,1,0,1,0,0
0,0,0,1,0,1,13,0,0,1,0,1,0,0
0,0,0,1,0,1,12.525,0,0,1,0,1,0,0
1,0,1,0,0,0,66.6,0,0,1,0,1,0,1
0,0,0,0,1,1,8.05,0,0,1,0,1,0,0
0,2,0,0,1,1,14.5,0,0,1,0,1,0,0
0,0,0,0,1,1,7.3125,0,0,1,0,0,1,0
0,1,1,0,0,1,61.3792,1,0,0,0,1,0,0
0,0,0,0,1,0,7.7333,0,1,0,0,1,0,1
0,0,0,0,1,1,8.05,0,0,1,0,1,0,0
0,0,0,0,1,1,8.6625,0,0,1,0,0,1,0
8,2,0,0,1,1,69.55,0,0,1,0,0,1,0
0,1,0,0,1,1,16.1,0,0,1,0,1,0,0
0,0,0,1,0,0,15.75,0,0,1,0,1,0,1
0,0,0,0,1,1,7.775,0,0,1,0,1,0,0
0,0,0,0,1,1,8.6625,0,0,1,0,1,0,0
4,1,0,0,1,1,39.6875,0,0,1,1,0,0,0
0,2,0,0,1,1,20.525,0,0,1,0,1,0,1
0,1,1,0,0,0,55,0,0,1,0,0,1,1
1,4,0,0,1,0,27.9,0,0,1,0,1,0,0
0,0,1,0,0,1,25.925,0,0,1,0,0,1,0
0,0,0,0,1,1,56.4958,0,0,1,0,1,0,0
0,0,1,0,0,1,33.5,0,0,1,0,1,0,0
4,1,0,0,1,1,29.125,0,1,0,0,1,0,0
1,1,0,0,1,0,11.1333,0,0,1,1,0,0,1
0,0,0,0,1,1,7.925,0,0,1,0,1,0,0
0,0,1,0,0,1,30.6958,1,0,0,0,1,0,0
1,1,0,0,1,1,7.8542,0,0,1,0,1,0,0
3,1,0,0,1,1,25.4667,0,0,1,0,0,1,0
0,0,1,0,0,0,28.7125,1,0,0,0,1,0,0
0,0,0,1,0,1,13,0,0,1,0,1,0,0
0,0,0,0,1,1,0,0,0,1,0,1,0,0
8,2,0,0,1,0,69.55,0,0,1,0,0,1,0
0,0,0,1,0,1,15.05,1,0,0,0,0,1,0
4,2,0,0,1,1,31.3875,0,0,1,0,1,0,0
2,1,0,1,0,1,39,0,0,1,1,0,0,1
0,2,0,0,1,0,22.025,0,0,1,0,1,0,1
0,0,1,0,0,1,50,0,0,1,0,0,1,0
1,0,0,0,1,0,15.5,0,1,0,0,0,1,1
0,0,1,0,0,1,26.55,0,0,1,0,1,0,1
1,1,0,0,1,1,15.5,0,1,0,0,1,0,0
0,0,0,0,1,1,7.8958,0,0,1,0,1,0,0
0,0,0,1,0,0,13,0,0,1,0,1,0,1
0,0,0,1,0,1,13,0,0,1,0,1,0,0
1,0,0,0,1,0,7.8542,0,0,1,0,1,0,1
1,1,0,1,0,1,26,0,0,1,0,1,0,1
0,0,1,0,0,0,27.7208,1,0,0,0,1,0,1
0,0,1,0,0,0,146.5208,1,0,0,0,1,0,1
0,0,0,0,1,1,7.75,0,1,0,0,0,1,0
0,1,0,0,1,1,8.4042,0,0,1,0,1,0,0
0,0,0,0,1,0,7.75,0,1,0,0,0,1,1
0,0,0,1,0,0,13,0,0,1,0,1,0,0
0,0,0,0,1,1,9.5,0,0,1,0,1,0,0
8,2,0,0,1,1,69.55,0,0,1,0,0,1,0
0,0,0,0,1,1,6.4958,0,0,1,0,1,0,0
0,0,0,0,1,1,7.225,1,0,0,0,1,0,0
0,0,0,0,1,1,8.05,0,0,1,0,1,0,1
0,1,0,0,1,0,10.4625,0,0,1,1,0,0,0
1,0,0,0,1,1,15.85,0,0,1,0,1,0,0
0,0,0,0,1,1,18.7875,1,0,0,0,1,0,1
0,0,0,0,1,0,7.75,0,1,0,0,1,0,1
0,0,1,0,0,1,31,1,0,0,0,1,0,1
0,0,0,0,1,1,7.05,0,0,1,0,1,0,0
0,0,0,1,0,0,21,0,0,1,0,1,0,1
0,0,0,0,1,1,7.25,0,0,1,0,1,0,0
0,0,0,1,0,1,13,0,0,1,0,1,0,0
1,0,0,0,1,1,7.75,0,1,0,0,0,1,0
1,0,1,0,0,0,113.275,1,0,0,0,1,0,1
0,0,0,0,1,0,7.925,0,0,1,0,1,0,1
1,0,0,1,0,1,27,0,0,1,0,1,0,0
0,0,1,0,0,0,76.2917,1,0,0,0,1,0,1
0,0,0,1,0,1,10.5,0,0,1,0,1,0,0
0,0,0,0,1,1,8.05,0,0,1,0,1,0,1
0,0,0,1,0,1,13,0,0,1,0,1,0,0
0,0,0,0,1,1,8.05,0,0,1,0,1,0,0
0,0,0,0,1,1,7.8958,0,0,1,0,0,1,0
1,0,1,0,0,1,90,0,0,1,0,1,0,1
0,0,0,0,1,1,9.35,0,0,1,0,1,0,0
0,0,0,1,0,1,10.5,0,0,1,0,1,0,1
0,0,0,0,1,1,7.25,0,0,1,0,1,0,0
0,0,0,1,0,1,13,0,0,1,0,1,0,0
3,1,0,0,1,0,25.4667,0,0,1,0,0,1,0
1,0,1,0,0,0,83.475,0,0,1,0,1,0,1
0,0,0,0,1,1,7.775,0,0,1,0,1,0,0
0,0,0,1,0,1,13.5,0,0,1,0,1,0,0
4,2,0,0,1,0,31.3875,0,0,1,0,1,0,1
0,0,0,1,0,1,10.5,0,0,1,0,1,0,0
0,0,0,0,1,0,7.55,0,0,1,0,0,1,0
1,0,0,1,0,1,26,0,0,1,0,1,0,0
0,2,0,1,0,0,26.25,0,0,1,0,1,0,1
0,0,0,1,0,1,10.5,0,0,1,0,1,0,0
0,0,0,1,0,1,12.275,0,0,1,0,1,0,0
1,0,0,0,1,0,14.4542,1,0,0,0,0,1,0
1,0,0,0,1,0,15.5,0,1,0,0,0,1,1
0,0,0,1,0,1,10.5,0,0,1,0,1,0,0
0,0,0,0,1,1,7.125,0,0,1,0,1,0,0
0,0,0,0,1,1,7.225,1,0,0,0,1,0,0
2,0,1,0,0,1,90,0,1,0,0,1,0,0
0,0,0,0,1,0,7.775,0,0,1,0,1,0,0
0,2,0,1,0,0,14.5,0,0,1,0,1,0,1
1,1,1,0,0,1,52.5542,0,0,1,0,1,0,1
1,0,0,1,0,1,26,0,0,1,0,1,0,0
0,0,0,0,1,1,7.25,0,0,1,0,0,1,0
1,1,0,0,1,0,10.4625,0,0,1,0,1,0,0
0,0,1,0,0,1,26.55,0,0,1,0,1,0,0
1,0,0,0,1,1,16.1,0,0,1,0,1,0,0
0,2,0,0,1,0,20.2125,0,0,1,0,1,0,0
0,2,0,0,1,0,15.2458,1,0,0,0,1,0,1
0,0,1,0,0,0,79.2,1,0,0,0,0,1,1
0,0,1,0,0,0,86.5,0,0,1,0,1,0,1
0,0,1,0,0,0,512.3292,1,0,0,0,1,0,1
0,1,0,1,0,0,26,0,0,1,0,1,0,1
0,0,0,0,1,1,7.75,0,1,0,0,0,1,0
4,2,0,0,1,1,31.3875,0,0,1,0,1,0,1
1,1,1,0,0,1,79.65,0,0,1,0,1,0,0
0,0,1,0,0,1,0,0,0,1,0,1,0,0
0,0,0,0,1,0,7.75,0,1,0,0,0,1,0
0,0,0,1,0,1,10.5,0,0,1,0,1,0,0
4,1,0,0,1,1,39.6875,0,0,1,0,1,0,0
1,0,0,0,1,1,7.775,0,0,1,0,1,0,1
0,1,1,0,0,0,153.4625,0,0,1,0,1,0,1
0,0,1,0,0,0,135.6333,0,0,1,0,1,0,1
0,0,1,0,0,1,31,0,0,1,0,0,1,0
0,0,0,0,1,1,0,0,0,1,0,1,0,1
0,1,0,1,0,0,19.5,0,0,1,0,1,0,1
0,1,1,0,0,1,29.7,1,0,0,0,1,0,0
0,0,0,0,1,0,7.75,0,1,0,0,0,1,1
1,0,1,0,0,0,77.9583,0,0,1,0,1,0,1
0,0,0,0,1,0,7.75,0,0,1,0,1,0,0
0,0,0,1,0,1,0,0,0,1,0,0,1,0
4,1,0,0,1,1,29.125,0,1,0,0,1,0,0
1,1,0,0,1,0,20.25,0,0,1,0,1,0,1
0,0,0,0,1,1,7.75,0,1,0,0,1,0,0
0,0,0,0,1,1,7.8542,0,0,1,0,1,0,0
0,0,0,0,1,1,9.5,0,0,1,0,1,0,0
0,0,0,0,1,1,8.05,0,0,1,0,1,0,1
0,0,1,0,0,1,26,0,0,1,0,0,1,0
0,0,0,0,1,1,8.6625,1,0,0,0,1,0,0
0,0,0,0,1,1,9.5,0,0,1,0,1,0,1
0,0,0,0,1,1,7.8958,0,0,1,0,1,0,0
0,0,0,1,0,1,13,0,0,1,0,1,0,1
0,0,0,0,1,0,7.75,0,1,0,0,1,0,1
0,0,1,0,0,0,78.85,0,0,1,0,1,0,1
1,0,1,0,0,0,91.0792,1,0,0,0,1,0,1
0,0,0,1,0,1,12.875,1,0,0,0,1,0,0
0,0,0,0,1,0,8.85,0,0,1,0,1,0,0
0,0,0,0,1,1,7.8958,0,0,1,0,1,0,0
0,0,1,0,0,1,27.7208,1,0,0,0,0,1,0
0,0,0,0,1,1,7.2292,1,0,0,0,1,0,0
1,2,1,0,0,0,151.55,0,0,1,1,0,0,0
0,0,1,0,0,1,30.5,0,0,1,0,0,1,1
0,1,1,0,0,0,247.5208,1,0,0,0,1,0,1
0,0,0,0,1,0,7.75,0,1,0,0,0,1,1
2,0,0,0,1,1,23.25,0,1,0,0,0,1,1
0,0,0,0,1,1,0,0,0,1,0,1,0,0
0,0,0,1,0,0,12.35,0,1,0,0,0,1,1
0,0,0,0,1,1,8.05,0,0,1,0,0,1,0
1,2,1,0,0,1,151.55,0,0,1,1,0,0,1
0,0,1,0,0,0,110.8833,1,0,0,0,0,1,1
1,0,1,0,0,0,108.9,1,0,0,0,1,0,1
1,0,0,1,0,1,24,1,0,0,0,1,0,0
0,0,1,0,0,0,56.9292,1,0,0,0,1,0,1
0,0,1,0,0,0,83.1583,1,0,0,0,1,0,1
2,2,1,0,0,0,262.375,1,0,0,0,1,0,1
1,1,0,1,0,0,26,0,0,1,0,1,0,0
0,0,0,0,1,1,7.8958,0,0,1,0,1,0,0
1,1,0,1,0,1,26.25,0,0,1,0,1,0,0
0,0,0,0,1,0,7.8542,0,0,1,0,1,0,1
1,0,0,1,0,0,26,0,0,1,0,1,0,1
0,0,0,1,0,1,14,0,0,1,0,1,0,0
0,2,1,0,0,0,164.8667,0,0,1,0,1,0,1
1,1,1,0,0,0,134.5,1,0,0,0,1,0,1
0,0,0,0,1,1,7.25,0,0,1,0,1,0,0
0,0,0,0,1,1,7.8958,0,0,1,0,1,0,0
0,0,0,1,0,0,12.35,0,1,0,0,1,0,1
1,1,0,1,0,0,29,0,0,1,0,1,0,1
8,2,0,0,1,1,69.55,0,0,1,0,0,1,0
0,0,1,0,0,0,135.6333,1,0,0,0,1,0,1
0,0,0,0,1,1,6.2375,0,0,1,0,1,0,0
0,0,0,1,0,0,13,0,0,1,0,1,0,1
1,1,0,0,1,0,20.525,0,0,1,0,1,0,1
0,1,1,0,0,0,57.9792,1,0,0,0,1,0,1
2,0,0,0,1,0,23.25,0,1,0,0,0,1,1
0,0,1,0,0,1,28.5,0,0,1,0,1,0,0
0,1,1,0,0,1,153.4625,0,0,1,0,1,0,0
2,0,0,0,1,1,18,0,0,1,0,1,0,0
1,0,1,0,0,0,133.65,0,0,1,0,0,1,1
0,0,0,0,1,1,7.8958,0,0,1,0,0,1,0
1,0,1,0,0,1,66.6,0,0,1,0,1,0,0
0,0,1,0,0,0,134.5,1,0,0,0,1,0,1
0,0,0,0,1,1,8.05,0,0,1,0,1,0,1
0,0,1,0,0,1,35.5,0,0,1,0,1,0,0
1,1,0,1,0,1,26,0,0,1,1,0,0,1
3,2,1,0,0,0,263,0,0,1,0,1,0,1
0,0,0,1,0,1,13,0,0,1,0,1,0,0
0,0,0,1,0,1,13,0,0,1,0,1,0,0
0,0,0,1,0,1,13,0,0,1,0,1,0,0
0,0,0,1,0,0,13,0,0,1,0,1,0,1
0,0,0,1,0,0,13,0,0,1,0,1,0,1
1,0,0,0,1,0,16.1,0,0,1,0,0,1,1
1,1,0,0,1,1,15.9,0,0,1,0,1,0,1
0,0,0,0,1,1,8.6625,0,0,1,0,1,0,0
0,0,0,0,1,1,9.225,0,0,1,0,1,0,0
0,0,1,0,0,1,35,0,0,1,0,0,1,0
1,1,0,0,1,1,7.2292,1,0,0,0,1,0,0
1,0,0,0,1,1,17.8,0,0,1,0,1,0,0
0,0,0,0,1,1,7.225,1,0,0,0,0,1,0
0,0,0,0,1,1,9.5,0,0,1,0,1,0,0
0,1,1,0,0,0,55,0,0,1,0,1,0,1
0,0,0,1,0,0,13,0,0,1,0,1,0,0
0,0,0,0,1,0,7.8792,0,1,0,0,0,1,1
0,0,0,0,1,0,7.8792,0,1,0,0,0,1,1
1,4,0,0,1,1,27.9,0,0,1,0,1,0,0
1,0,0,1,0,1,27.7208,1,0,0,0,1,0,0
0,1,0,0,1,0,14.4542,1,0,0,0,1,0,0
0,0,0,0,1,1,7.05,0,0,1,0,1,0,0
1,0,0,0,1,1,15.5,0,1,0,0,0,1,0
0,0,0,0,1,1,7.25,0,0,1,0,1,0,0
1,0,1,0,0,0,75.25,1,0,0,0,1,0,1
0,0,0,0,1,0,7.2292,1,0,0,0,0,1,1
0,0,0,0,1,0,7.75,0,1,0,0,0,1,1
0,0,1,0,0,0,69.3,1,0,0,0,1,0,1
1,0,1,0,0,1,55.4417,1,0,0,0,1,0,1
1,0,0,0,1,1,6.4958,0,0,1,0,1,0,0
0,0,0,0,1,1,8.05,0,0,1,0,1,0,0
0,0,1,0,0,1,135.6333,1,0,0,0,1,0,0
3,1,0,0,1,0,21.075,0,0,1,0,1,0,0
1,0,1,0,0,0,82.1708,1,0,0,0,0,1,1
0,0,0,0,1,0,7.25,0,0,1,0,1,0,1
0,2,1,0,0,1,211.5,1,0,0,0,1,0,0
0,0,0,0,1,1,4.0125,1,0,0,0,1,0,0
0,0,0,0,1,1,7.775,0,0,1,0,1,0,0
0,0,1,0,0,0,227.525,1,0,0,0,1,0,1
0,2,0,0,1,0,15.7417,1,0,0,1,0,0,1
0,0,0,0,1,1,7.925,0,0,1,0,1,0,0
1,0,1,0,0,0,52,0,0,1,0,1,0,1
0,0,0,0,1,1,7.8958,0,0,1,0,0,1,0
0,0,0,1,0,1,73.5,0,0,1,0,1,0,0
5,2,0,0,1,1,46.9,0,0,1,1,0,0,0
0,0,0,1,0,0,13,0,0,1,0,1,0,1
0,0,0,0,1,1,7.7292,0,1,0,0,0,1,0
0,0,0,1,0,0,12,1,0,0,0,1,0,1
1,2,1,0,0,1,120,0,0,1,0,1,0,1
0,0,0,0,1,1,7.7958,0,0,1,0,1,0,1
2,0,0,0,1,1,7.925,0,0,1,0,1,0,0
1,0,1,0,0,0,113.275,1,0,0,0,1,0,1
0,2,0,0,1,0,16.7,0,0,1,0,1,0,1
0,0,0,0,1,1,7.7958,0,0,1,0,1,0,0
0,0,0,0,1,0,7.8542,0,0,1,0,1,0,0
0,0,0,1,0,1,26,0,0,1,0,1,0,0
0,0,0,1,0,1,10.5,0,0,1,0,1,0,0
0,0,0,1,0,0,12.65,0,0,1,0,1,0,1
0,0,0,0,1,1,7.925,0,0,1,0,1,0,1
0,0,0,0,1,1,8.05,0,0,1,0,1,0,0
1,0,0,0,1,0,9.825,0,0,1,0,1,0,0
1,0,0,0,1,1,15.85,0,0,1,0,1,0,0
0,0,0,0,1,0,8.6625,0,0,1,0,1,0,0
1,0,0,1,0,1,21,0,0,1,0,1,0,0
0,0,0,0,1,1,7.75,0,0,1,0,1,0,0
1,1,0,1,0,1,18.75,0,0,1,0,1,0,1
0,0,0,0,1,1,7.775,0,0,1,0,1,0,0
3,1,0,0,1,0,25.4667,0,0,1,0,0,1,0
0,0,0,0,1,1,7.8958,0,0,1,0,0,1,0
0,0,0,0,1,1,6.8583,0,1,0,0,0,1,0
1,0,1,0,0,0,90,0,1,0,0,1,0,1
0,0,0,1,0,1,0,0,0,1,0,0,1,0
0,0,0,0,1,1,7.925,0,0,1,0,1,0,1
0,0,0,0,1,0,8.05,0,0,1,0,0,1,0
1,1,0,1,0,0,32.5,0,0,1,0,1,0,1
0,2,0,1,0,0,13,0,0,1,0,1,0,1
0,0,0,1,0,1,13,0,0,1,0,1,0,0
0,2,0,0,1,0,24.15,0,0,1,0,1,0,0
0,0,0,0,1,1,7.8958,1,0,0,0,0,1,0
0,0,0,0,1,1,7.7333,0,1,0,0,1,0,0
0,0,0,0,1,1,7.875,0,0,1,0,1,0,0
1,1,0,0,1,0,14.4,0,0,1,0,1,0,0
1,1,0,0,1,1,20.2125,0,0,1,0,1,0,0
0,0,0,0,1,1,7.25,0,0,1,0,0,1,0
1,0,0,1,0,0,26,0,0,1,0,1,0,1
0,0,0,1,0,0,26,0,0,1,0,1,0,1
0,0,0,0,1,1,7.75,0,1,0,0,0,1,0
0,0,0,0,1,1,8.05,0,0,1,0,1,0,1
0,0,1,0,0,1,26.55,0,0,1,0,1,0,1
1,0,0,0,1,0,16.1,0,0,1,0,0,1,1
1,0,0,1,0,0,26,0,0,1,0,1,0,1
0,0,0,0,1,1,7.125,0,0,1,0,1,0,0
1,0,1,0,0,1,55.9,0,0,1,0,1,0,0
1,2,1,0,0,0,120,0,0,1,0,1,0,1
2,2,0,0,1,0,34.375,0,0,1,0,1,0,0
2,3,0,1,0,0,18.75,0,0,1,0,1,0,1
1,4,1,0,0,1,263,0,0,1,0,1,0,0
0,0,0,1,0,1,10.5,0,0,1,0,1,0,0
1,1,0,1,0,0,26.25,0,0,1,0,1,0,1
0,0,0,0,1,1,9.5,0,0,1,0,1,0,0
1,0,0,0,1,1,7.775,0,0,1,0,1,0,0
0,0,0,1,0,0,13,0,0,1,0,1,0,1
0,0,0,0,1,1,8.1125,0,0,1,0,0,1,1
0,2,1,0,0,1,81.8583,0,0,1,0,1,0,1
0,1,0,1,0,0,19.5,0,0,1,0,1,0,1
0,0,1,0,0,1,26.55,0,0,1,0,1,0,1
2,1,0,0,1,0,19.2583,1,0,0,0,1,0,1
0,0,1,0,0,1,30.5,0,0,1,0,1,0,1
1,2,0,1,0,1,27.75,0,0,1,0,1,0,0
1,0,0,0,1,1,19.9667,0,0,1,0,0,1,0
0,0,1,0,0,1,27.75,1,0,0,0,1,0,0
1,0,1,0,0,1,89.1042,1,0,0,0,1,0,1
0,0,0,0,1,1,8.05,0,0,1,0,0,1,0
