"id","PassengerId","SibSp","Parch","CabinCat","TicketId","Age","Class.1","Class.2","Class.3","Gender","Fare.1","Fare.2","Fare.3","Embarked.C","Embarked.Q","Embarked.S","Embarked.NA","Survived"
"150",150,0,0,0,148,42,0,1,0,1,0,1,0,0,0,1,0,0
"151",151,0,0,0,623,51,0,1,0,1,0,1,0,0,0,1,0,0
"152",152,1,0,3,37,22,1,0,0,0,0,1,0,0,0,1,0,1
"153",153,0,0,0,517,55.5,0,0,1,1,1,0,0,0,0,1,0,0
"154",154,0,2,0,539,40.5,0,0,1,1,0,1,0,0,0,1,0,0
"155",155,0,0,0,574,29.6991176470588,0,0,1,1,1,0,0,0,0,1,0,0
"156",156,0,1,0,596,51,1,0,0,1,0,1,0,1,0,0,0,0
"157",157,0,0,0,419,16,0,0,1,0,1,0,0,0,1,0,0,1
"158",158,0,0,0,655,30,0,0,1,1,1,0,0,0,0,1,0,0
"159",159,0,0,0,259,29.6991176470588,0,0,1,1,1,0,0,0,0,1,0,0
"160",160,3,2,0,569,9,0,0,1,1,0,1,0,0,0,1,0,0
"161",161,0,1,0,471,44,0,0,1,1,0,1,0,0,0,1,0,0
"162",162,0,0,0,560,40,0,1,0,0,0,1,0,0,0,1,0,1
"163",163,0,0,0,324,26,0,0,1,1,1,0,0,0,0,1,0,0
"164",164,0,0,0,266,17,0,0,1,1,1,0,0,0,0,1,0,0
"165",165,3,1,0,250,1,0,0,1,1,0,1,0,0,0,1,0,0
"166",166,0,2,0,424,9,0,0,1,1,0,1,0,0,0,1,0,1
"167",167,0,1,5,29,29.6991176470588,1,0,0,0,0,1,0,0,0,1,0,1
"168",168,1,3,0,338,45,0,0,1,0,0,1,0,0,0,1,0,0
"169",169,0,0,0,577,29.6991176470588,1,0,0,1,0,1,0,0,0,1,0,0
"170",170,0,0,0,81,28,0,0,1,1,0,1,0,0,0,1,0,0
"171",171,0,0,2,6,61,1,0,0,1,0,1,0,0,0,1,0,0
"172",172,3,1,0,481,4,0,0,1,1,0,1,0,0,1,0,0,0
"173",173,1,1,0,345,1,0,0,1,0,0,1,0,0,0,1,0,1
"174",174,0,0,0,660,21,0,0,1,1,1,0,0,0,0,1,0,0
"175",175,0,0,1,91,56,1,0,0,1,0,1,0,1,0,0,0,0
"176",176,1,1,0,413,18,0,0,1,1,1,0,0,0,0,1,0,0
"177",177,3,1,0,489,9,0,0,1,1,0,1,0,0,0,1,0,0
"178",178,0,0,3,594,50,1,0,0,0,0,1,0,1,0,0,0,0
"179",179,0,0,0,170,30,0,1,0,1,0,1,0,0,0,1,0,0
"180",180,0,0,0,575,36,0,0,1,1,1,0,0,0,0,1,0,0
"181",181,3,2,0,569,9,0,0,1,0,0,1,0,0,0,1,0,0
"182",182,0,0,0,631,29.6991176470588,0,1,0,1,0,1,0,1,0,0,0,0
"183",183,3,2,0,330,9,0,0,1,1,0,1,0,0,0,1,0,0
"184",184,2,1,6,115,1,0,1,0,1,0,1,0,0,0,1,0,1
"185",185,0,2,0,272,4,0,0,1,0,0,1,0,0,0,1,0,1
"186",186,0,0,1,35,29.6991176470588,1,0,0,1,0,1,0,0,0,1,0,0
"187",187,1,0,0,460,29.6991176470588,0,0,1,0,0,1,0,0,1,0,0,1
"188",188,0,0,0,12,45,1,0,0,1,0,1,0,0,0,1,0,1
"189",189,1,1,0,436,40,0,0,1,1,0,1,0,0,1,0,0,0
"190",190,0,0,0,387,36,0,0,1,1,1,0,0,0,0,1,0,0
"191",191,0,0,0,123,32,0,1,0,0,0,1,0,0,0,1,0,1
"192",192,0,0,0,228,19,0,1,0,1,0,1,0,0,0,1,0,0
"193",193,1,0,0,407,19,0,0,1,0,1,0,0,0,0,1,0,1
"194",194,1,1,6,114,3,0,1,0,1,0,1,0,0,0,1,0,1
"195",195,0,0,2,605,44,1,0,0,0,0,1,0,1,0,0,0,1
"196",196,0,0,2,587,58,1,0,0,0,0,0,1,1,0,0,0,1
"197",197,0,0,0,453,29.6991176470588,0,0,1,1,1,0,0,0,1,0,0,0
"198",198,0,1,0,495,42,0,0,1,1,1,0,0,0,0,1,0,0
"199",199,0,0,0,462,9,0,0,1,0,1,0,0,0,1,0,0,1
"200",200,0,0,0,161,24,0,1,0,0,0,1,0,0,0,1,0,0
"201",201,0,0,0,307,28,0,0,1,1,1,0,0,0,0,1,0,0
"202",202,3,2,0,569,29.6991176470588,0,0,1,1,0,1,0,0,0,1,0,0
"203",203,0,0,0,243,34,0,0,1,1,1,0,0,0,0,1,0,0
"204",204,0,0,0,178,45.5,0,0,1,1,1,0,0,1,0,0,0,0
"205",205,0,0,0,531,18,0,0,1,1,1,0,0,0,0,1,0,1
"206",206,0,1,7,317,2,0,0,1,0,0,1,0,0,0,1,0,0
"207",207,1,0,0,248,32,0,0,1,1,0,1,0,0,0,1,0,0
"208",208,0,0,0,217,26,0,0,1,1,0,1,0,1,0,0,0,1
"209",209,0,0,0,446,16,0,0,1,0,1,0,0,0,1,0,0,1
"210",210,0,0,1,18,40,1,0,0,1,0,1,0,1,0,0,0,1
"211",211,0,0,0,643,24,0,0,1,1,1,0,0,0,0,1,0,0
"212",212,0,0,0,571,35,0,1,0,0,0,1,0,0,0,1,0,1
"213",213,0,0,0,527,22,0,0,1,1,1,0,0,0,0,1,0,0
"214",214,0,0,0,164,30,0,1,0,1,0,1,0,0,0,1,0,0
"215",215,1,0,0,444,29.6991176470588,0,0,1,1,1,0,0,0,1,0,0,0
"216",216,1,0,4,417,31,1,0,0,0,0,0,1,1,0,0,0,1
"217",217,0,0,0,671,27,0,0,1,0,1,0,0,0,0,1,0,1
"218",218,1,0,0,143,42,0,1,0,1,0,1,0,0,0,1,0,0
"219",219,0,0,4,64,32,1,0,0,0,0,1,0,1,0,0,0,1
"220",220,0,0,0,680,30,0,1,0,1,0,1,0,0,0,1,0,0
"221",221,0,0,0,654,16,0,0,1,1,1,0,0,0,0,1,0,1
"222",222,0,0,0,106,27,0,1,0,1,0,1,0,0,0,1,0,0
"223",223,0,0,0,103,51,0,0,1,1,1,0,0,0,0,1,0,0
"224",224,0,0,0,376,29.6991176470588,0,0,1,1,1,0,0,0,0,1,0,0
"225",225,1,0,3,94,38,1,0,0,1,0,1,0,0,0,1,0,1
"226",226,0,0,0,616,22,0,0,1,1,1,0,0,0,0,1,0,0
"227",227,0,0,0,673,19,0,1,0,1,0,1,0,0,0,1,0,1
"228",228,0,0,0,526,20.5,0,0,1,1,1,0,0,0,0,1,0,0
"229",229,0,0,0,126,18,0,1,0,1,0,1,0,0,0,1,0,0
"230",230,3,1,0,489,9,0,0,1,0,0,1,0,0,0,1,0,0
"231",231,1,0,3,458,35,1,0,0,0,0,1,0,0,0,1,0,1
"232",232,0,0,0,323,29,0,0,1,1,1,0,0,0,0,1,0,0
"233",233,0,0,0,129,59,0,1,0,1,0,1,0,0,0,1,0,0
"234",234,3,2,0,330,5,0,0,1,0,0,1,0,0,0,1,0,1
"235",235,0,0,0,555,24,0,1,0,1,0,1,0,0,0,1,0,0
"236",236,0,0,0,678,9,0,0,1,0,1,0,0,0,0,1,0,0
"237",237,1,0,0,199,44,0,1,0,1,0,1,0,0,0,1,0,0
"238",238,0,2,0,557,8,0,1,0,0,0,1,0,0,0,1,0,1
"239",239,0,0,0,232,19,0,1,0,1,0,1,0,0,0,1,0,0
"240",240,0,0,0,637,33,0,1,0,1,0,1,0,0,0,1,0,0
"241",241,1,0,0,194,9,0,0,1,0,0,1,0,1,0,0,0,0
"242",242,1,0,0,445,9,0,0,1,0,0,1,0,0,1,0,0,1
"243",243,0,0,0,675,29,0,1,0,1,0,1,0,0,0,1,0,0
"244",244,0,0,0,659,22,0,0,1,1,1,0,0,0,0,1,0,0
"245",245,0,0,0,214,30,0,0,1,1,1,0,0,1,0,0,0,0
"246",246,2,0,3,93,44,1,0,0,1,0,1,0,0,1,0,0,0
"247",247,0,0,0,326,25,0,0,1,0,1,0,0,0,0,1,0,0
"248",248,0,2,0,167,24,0,1,0,0,0,1,0,0,0,1,0,1
"249",249,1,1,4,55,37,1,0,0,1,0,1,0,0,0,1,0,1
"250",250,1,0,0,145,54,0,1,0,1,0,1,0,0,0,1,0,0
"251",251,0,0,0,423,29.6991176470588,0,0,1,1,1,0,0,0,0,1,0,0
"252",252,1,1,7,317,29,0,0,1,0,0,1,0,0,0,1,0,0
"253",253,0,0,3,32,62,1,0,0,1,0,1,0,0,0,1,0,0
"254",254,1,0,0,537,30,0,0,1,1,0,1,0,0,0,1,0,0
"255",255,0,2,0,459,41,0,0,1,0,0,1,0,0,0,1,0,0
"256",256,0,2,0,186,29,0,0,1,0,0,1,0,1,0,0,0,1
"257",257,0,0,0,590,29.6991176470588,1,0,0,0,0,1,0,1,0,0,0,1
"258",258,0,0,2,1,30,1,0,0,0,0,1,0,0,0,1,0,1
"259",259,0,0,2,609,35,1,0,0,0,0,0,1,1,0,0,0,1
"260",260,0,1,0,116,50,0,1,0,0,0,1,0,0,0,1,0,1
"261",261,0,0,0,483,29.6991176470588,0,0,1,1,1,0,0,0,1,0,0,0
"262",262,3,2,0,330,3,0,0,1,1,0,1,0,0,0,1,0,1
"263",263,1,1,5,2,52,1,0,0,1,0,1,0,0,0,1,0,0
"264",264,0,0,2,17,40,1,0,0,1,1,0,0,0,0,1,0,0
"265",265,0,0,0,479,9,0,0,1,0,1,0,0,0,1,0,0,0
"266",266,0,0,0,547,36,0,1,0,1,0,1,0,0,0,1,0,0
"267",267,3,1,0,250,16,0,0,1,1,0,1,0,0,0,1,0,0
"268",268,1,0,0,335,25,0,0,1,1,1,0,0,0,0,1,0,1
"269",269,0,1,3,589,58,1,0,0,0,0,0,1,0,0,1,0,1
"270",270,0,0,3,614,35,1,0,0,0,0,0,1,0,0,1,0,1
"271",271,0,0,0,48,29.6991176470588,1,0,0,1,0,1,0,0,0,1,0,0
"272",272,0,0,0,575,25,0,0,1,1,1,0,0,0,0,1,0,1
"273",273,0,1,0,163,41,0,1,0,0,0,1,0,0,0,1,0,1
"274",274,0,1,3,595,37,1,0,0,1,0,1,0,1,0,0,0,0
"275",275,0,0,0,466,9,0,0,1,0,1,0,0,0,1,0,0,1
"276",276,1,0,4,72,63,1,0,0,0,0,1,0,0,0,1,0,1
"277",277,0,0,0,327,45,0,0,1,0,1,0,0,0,0,1,0,0
"278",278,0,0,0,136,29.6991176470588,0,1,0,1,1,0,0,0,0,1,0,0
"279",279,3,1,0,481,7,0,0,1,1,0,1,0,0,1,0,0,0
"280",280,1,1,0,552,35,0,0,1,0,0,1,0,0,0,1,0,1
"281",281,0,0,0,291,65,0,0,1,1,1,0,0,0,1,0,0,0
"282",282,0,0,0,341,28,0,0,1,1,1,0,0,0,0,1,0,0
"283",283,0,0,0,311,16,0,0,1,1,1,0,0,0,0,1,0,0
"284",284,0,0,0,534,19,0,0,1,1,1,0,0,0,0,1,0,1
"285",285,0,0,1,25,29.6991176470588,1,0,0,1,0,1,0,0,0,1,0,0
"286",286,0,0,0,379,33,0,0,1,1,1,0,0,1,0,0,0,0
"287",287,0,0,0,309,30,0,0,1,1,1,0,0,0,0,1,0,1
"288",288,0,0,0,354,22,0,0,1,1,1,0,0,0,0,1,0,0
"289",289,0,0,0,135,42,0,1,0,1,0,1,0,0,0,1,0,1
"290",290,0,0,0,465,22,0,0,1,0,1,0,0,0,1,0,0,1
"291",291,0,0,3,92,26,1,0,0,0,0,1,0,0,0,1,0,1
"292",292,1,0,2,65,19,1,0,0,0,0,1,0,1,0,0,0,1
"293",293,0,0,4,635,36,0,1,0,1,0,1,0,1,0,0,0,0
"294",294,0,0,0,377,24,0,0,1,0,1,0,0,0,0,1,0,0
"295",295,0,0,0,375,24,0,0,1,1,1,0,0,0,0,1,0,0
"296",296,0,0,0,607,29.6991176470588,1,0,0,1,0,1,0,1,0,0,0,0
"297",297,0,0,0,213,23.5,0,0,1,1,1,0,0,1,0,0,0,0
"298",298,1,2,3,38,2,1,0,0,0,0,0,1,0,0,1,0,0
"299",299,0,0,3,99,29.6991176470588,1,0,0,1,0,1,0,0,0,1,0,1
"300",300,0,1,2,586,50,1,0,0,0,0,0,1,1,0,0,0,1
"301",301,0,0,0,514,9,0,0,1,0,1,0,0,0,1,0,0,1
"302",302,2,0,0,442,29.6991176470588,0,0,1,1,0,1,0,0,1,0,0,1
"303",303,0,0,0,575,19,0,0,1,1,1,0,0,0,0,1,0,0
"304",304,0,0,5,110,9,0,1,0,0,0,1,0,0,1,0,0,1
"305",305,0,0,0,528,29.6991176470588,0,0,1,1,1,0,0,0,0,1,0,0
"306",306,1,2,3,38,0.92,1,0,0,1,0,0,1,0,0,1,0,1
"307",307,0,0,3,84,9,1,0,0,0,0,0,1,1,0,0,0,1
"308",308,1,0,3,612,17,1,0,0,0,0,0,1,1,0,0,0,1
"309",309,1,0,0,576,30,0,1,0,1,0,1,0,1,0,0,0,0
"310",310,0,0,5,585,30,1,0,0,0,0,1,0,1,0,0,0,1
"311",311,0,0,3,60,24,1,0,0,0,0,1,0,1,0,0,0,1
"312",312,2,2,2,603,18,1,0,0,0,0,0,1,1,0,0,0,1
"313",313,1,1,0,168,26,0,1,0,0,0,1,0,0,0,1,0,0
"314",314,0,0,0,383,28,0,0,1,1,1,0,0,0,0,1,0,0
"315",315,1,1,0,572,43,0,1,0,1,0,1,0,0,0,1,0,0
"316",316,0,0,0,344,26,0,0,1,0,1,0,0,0,0,1,0,1
"317",317,1,0,0,151,24,0,1,0,0,0,1,0,0,0,1,0,1
"318",318,0,0,0,233,54,0,1,0,1,0,1,0,0,0,1,0,0
"319",319,0,2,3,454,31,1,0,0,0,0,0,1,0,0,1,0,1
"320",320,1,1,5,82,40,1,0,0,0,0,0,1,1,0,0,0,1
"321",321,0,0,0,525,22,0,0,1,1,1,0,0,0,0,1,0,0
"322",322,0,0,0,366,27,0,0,1,1,1,0,0,0,0,1,0,0
"323",323,0,0,0,125,30,0,1,0,0,0,1,0,0,1,0,0,1
"324",324,1,1,0,159,22,0,1,0,0,0,1,0,0,0,1,0,1
"325",325,3,2,0,569,29.6991176470588,0,0,1,1,0,1,0,0,0,1,0,0
"326",326,0,0,3,614,36,1,0,0,0,0,0,1,1,0,0,0,1
"327",327,0,0,0,300,61,0,0,1,1,1,0,0,0,0,1,0,0
"328",328,0,0,4,230,36,0,1,0,0,0,1,0,0,0,1,0,1
"329",329,1,1,0,424,31,0,0,1,0,0,1,0,0,0,1,0,1
"330",330,0,1,2,8,16,1,0,0,0,0,1,0,1,0,0,0,1
"331",331,2,0,0,442,9,0,0,1,0,0,1,0,0,1,0,0,1
"332",332,0,0,3,21,45.5,1,0,0,1,0,1,0,0,0,1,0,0
"333",333,0,1,3,589,38,1,0,0,1,0,0,1,0,0,1,0,0
"334",334,2,0,0,303,16,0,0,1,1,0,1,0,0,0,1,0,0
"335",335,1,0,0,606,29.6991176470588,1,0,0,0,0,0,1,0,0,1,0,1
"336",336,0,0,0,371,29.6991176470588,0,0,1,1,1,0,0,0,0,1,0,0
"337",337,1,0,3,37,29,1,0,0,1,0,1,0,0,0,1,0,0
"338",338,0,0,5,82,41,1,0,0,0,0,0,1,1,0,0,0,1
"339",339,0,0,0,511,45,0,0,1,1,1,0,0,0,0,1,0,1
"340",340,0,0,20,40,45,1,0,0,1,0,1,0,0,0,1,0,0
"341",341,1,1,6,114,2,0,1,0,1,0,1,0,0,0,1,0,1
"342",342,3,2,3,96,24,1,0,0,0,0,0,1,0,0,1,0,1
"343",343,0,0,0,160,28,0,1,0,1,0,1,0,0,0,1,0,0
"344",344,0,0,0,150,25,0,1,0,1,0,1,0,0,0,1,0,0
"345",345,0,0,0,113,36,0,1,0,1,0,1,0,0,0,1,0,0
