"","id","Name","Age","Class","Ticket","Embarked","Job","Boat"
"167","","DAVIES, Mrs Elizabeth Agnes Mary","48","2nd Class Passenger","33112£36 15s","Southampton","","14"
"168","","DAVIES, Master John Morgan jr","8","2nd Class Passenger","33112£36 15s","Southampton","","14"
"169","","DAVIS, Miss Mary","28","2nd Class Passenger","237668£13","Southampton","","13"
"170","","DAVISON, Mrs Mary E.","34","3rd Class Passenger","386525£16 2s","Southampton","","16"
"171","","DE MESSEMAEKER, Mr Guillaume Joseph","36","3rd Class Passenger","345572£17 8s","Southampton","","15"
"172","","DE MESSEMAEKER, Mrs Anna","36","3rd Class Passenger","345572£17 8s","Southampton","","13"
"173","","DE MULDER, Mr Theodoor","30","3rd Class Passenger","345774£9 10s","Southampton","","11"
"174","","DEAN, Mrs Eva Georgetta","32","3rd Class Passenger","2315£20 11s 6d","Southampton","","10"
"175","","DEAN, Master Bertram Vere","1","3rd Class Passenger","2315£20 11s 6d","Southampton","","10"
"176","","DEAN, Miss Elizabeth Gladys 'Millvina'","2m","3rd Class Passenger","2315£20 11s 6d","Southampton","","10"
"177","","DEL CARLO, Mrs Argene","24","2nd Class Passenger","2167£27 14s 5d","Cherbourg","","11"
"178","","DEVANEY, Miss Margaret Delia","19","3rd Class Passenger","330958£7 17s 7d","Queenstown","","C"
"179","","DIAPER, Mr John Joseph","27","Engineering Crew","","Southampton","Fireman",""
"180","","DICK, Mr Albert Adrian","31","1st Class Passenger","17474£57","Southampton","","3"
"181","","DICK, Mrs Vera","17","1st Class Passenger","17474£57","Southampton","","3"
"182","","DILLEY, Mr John","30","Engineering Crew","","Southampton","Fireman",""
"183","","DILLON, Mr Thomas Patrick","24","Engineering Crew","","Southampton","Trimmer","4"
"184","","DODGE, Dr Washington","52","1st Class Passenger","33638£81 17s 2d","Southampton","Politician","13"
"185","","DODGE, Mrs Ruth","34","1st Class Passenger","33638£81 17s 2d","Southampton","","5"
"186","","DODGE, Master Washington","4","1st Class Passenger","33638£81 17s 2d","Southampton","","5"
"187","","DOEL, Mr Frederick","22","Engineering Crew","","Southampton","Fireman",""
"188","","DOLING, Mrs Ada Julia Elizabeth","34","2nd Class Passenger","231919£23","Southampton","",""
"189","","DOLING, Miss Elsie","18","2nd Class Passenger","231919£23","Southampton","",""
"190","","DORE, Mr Albert James","22","Engineering Crew","","Southampton","Trimmer",""
"191","","DORKING, Mr Edward Arthur","18","3rd Class Passenger","10482£8 1s","Southampton","Groom","B"
"192","","DOUGLAS, Mrs Mahala","48","1st Class Passenger","17761£106 8s 6d","Cherbourg","","2"
"193","","DOUGLAS, Mrs Mary HÃ©lÃ¨ne","27","1st Class Passenger","17558£247 10s 5d","Cherbourg","","6"
"194","","DOWDELL, Miss Elizabeth","31","3rd Class Passenger","364516£12 9s 6d","Southampton","Housekeeper","13"
"195","","DREW, Mrs Lulu Thorne","34","2nd Class Passenger","28220£32 10s","Southampton","","10"
"196","","DREW, Master Marshall Brines","8","2nd Class Passenger","28220£32 10s","Southampton","","10"
"197","","DROPKIN, Miss Jennie","24","3rd Class Passenger","392083£8 1s","Southampton","Box Maker",""
"198","","DUFF GORDON, Sir Cosmo Edmund","49","1st Class Passenger","11755£39 12s","Cherbourg","Landowner","1"
"199","","DUFF GORDON,  Lucy Christiana, Lady","48","1st Class Passenger","17485£56 18s 7d","Cherbourg","Dressmaker / Couturière","1"
"200","","DUQUEMIN, Mr Joseph Pierre","19","3rd Class Passenger","752£7 11s","Southampton","Mason","D"
"201","","DURAN Y MORE, Sra. Asuncion","27","2nd Class Passenger","2149£13 17s 2d","Cherbourg","","12"
"202","","DURÃ¡N I MONÃ©, Sra. Florentina","30","2nd Class Passenger","2148£13 17s 2d","Cherbourg","","12"
"203","","DYKER, Mrs Anna Elisabeth Judith","22","3rd Class Passenger","347072£13 18s","Southampton","","16"
"204","","DYMOND, Mr Frank","40","Engineering Crew","","Southampton","Fireman","15"
"205","","EARNSHAW, Mrs Olive","23","1st Class Passenger","11767£83 3s 2d","Cherbourg","Of Independent Means","7"
"206","","ELLIS, Mr John Bertram","30","Victualling Crew","","Southampton","Assistant Vegetable Cook","2"
"207","","EMANUEL, Miss Virginia Ethel","5","3rd Class Passenger","364516£12 9s 6d","Southampton","","13"
"208","","ENDRES, Miss Caroline Louise","39","1st Class PassengerServant","17757£247 10s 6d","Cherbourg","Nurse","4"
"209","","ETCHES, Mr Henry Samuel","43","Victualling Crew","","Belfast","First class bedroom steward","5"
"210","","EUSTIS, Miss Elizabeth Mussey","54","1st Class Passenger","36947£78 5s 4d","Cherbourg","","4"
"211","","EVANS, Mr Alfred Frank","25","Deck Crew","","Southampton","Lookout","15"
"212","","EVANS, Mr Frank Oliver","27","Deck Crew","","Southampton","Able Seaman","10"
"213","","FAULKNER, Mr William Stephen","37","Victualling Crew","","Belfast","Bed Room Steward","11"
"214","","FINOLI, Mr Luigi","34","3rd Class Passenger","3101308£7 1s","Southampton","","15"
"215","","FITZPATRICK, Mr Cecil William","21","Engineering Crew","","Southampton","Mess Steward","B"
"216","","FLARTY, Mr Edward","43","Engineering Crew","","Southampton","Fireman",""
"217","","FLEET, Mr Frederick","24","Deck Crew","","Belfast","Lookout","6"
"218","","FLEGENHEIM, Mrs Antoinette","48","1st Class Passenger","17598£31 13s 8d","Cherbourg","","7"
"219","","FLEMING, Miss Margaret","42","1st Class PassengerServant","17421£110 17s 8d","Cherbourg","Personal Maid","4"
"220","","FLYNN, Mr John Irwin","36","1st Class Passenger","PC 14474£26 5s 9d","Southampton","","5"
"221","","FOLEY, Mr John","44","Deck Crew","","Belfast","Storekeeper",""
"222","","FOLEY, Mr William C.","26","Victualling Crew","","Southampton","Steward",""
"223","","FOO, Mr Choong","32","3rd Class Passenger","1601£56 9s 11d","Southampton","Seaman","13"
"224","","FORTUNE, Mrs Mary","60","1st Class Passenger","19950£263","Southampton","","10"
"225","","FORTUNE, Miss Ethel Flora","28","1st Class Passenger","19950£263","Southampton","","10"
"226","","FORTUNE, Miss Alice Elizabeth","24","1st Class Passenger","19950£263","Southampton","","10"
"227","","FORTUNE, Miss Mabel Helen","23","1st Class Passenger","19950£263","Southampton","","10"
"228","","FORWARD, Mr James","27","Deck Crew","","Southampton","Able Seaman","16"
"229","","FRANCATELLI, Miss Laura Mabel","31","1st Class PassengerServant","17485£56 18s 7d","Cherbourg","Secretary","1"
"230","","FRAUENTHAL, Mr Isaac Gerald","43","1st Class Passenger","17765£27 14s 5d","Cherbourg","","5"
"231","","FRAUENTHAL, Dr Henry William","49","1st Class Passenger","17611£133 13s","Cherbourg","Doctor","5"
"232","","FRAUENTHAL, Mrs Clara","42","1st Class Passenger","17611£133 13s","Cherbourg","","5"
"233","","FRÃ¶LICHER, Miss Hedwig Margaritha","22","1st Class Passenger","13568£49 10s","Cherbourg","","5"
"234","","FRÃ¶LICHER-STEHLI, Mr Maximilian Josef","60","1st Class Passenger","13567£79 4s","Cherbourg","","5"
"235","","FRÃ¶LICHER-STEHLI, Mrs Margaretha Emerentia","48","1st Class Passenger","13567£79 4s","Cherbourg","","5"
"236","","FREDERICKS, Mr Walter Francis","21","Engineering Crew","","Southampton","Trimmer","15"
"237","","FRYER, Mr Albert Ernest","26","Engineering Crew","","Southampton","Trimmer",""
"238","","FUTRELLE, Mrs Lily May","35","1st Class Passenger","113803£53 2s","Southampton","","D"
"239","","GARSIDE, Miss Ethel","34","2nd Class Passenger","243880£13","Southampton","","12"
"240","","GEORGE/JOSEPH, Mrs Shawneene","38","3rd Class Passenger","2688£7 4s 7d","Cherbourg","","C"
"241","","GIBBONS, Mr Jacob William","36","Victualling Crew","","Southampton","Saloon Steward",""
"242","","GIBSON, Mrs Pauline Caroline","44","1st Class Passenger","112378£59 8s","Cherbourg","","7"
"243","","GIBSON, Miss Dorothy Winifred","22","1st Class Passenger","112378£59 8s","Cherbourg","","7"
"244","","GIEGER, Miss Amalie ""Emily"" Henriette","35","1st Class PassengerServant","113503£211 10s","Southampton","Personal Maid","4"
"245","","GILES, Mr Henry Robert","32","Engineering Crew","","Southampton","Fireman",""
"246","","GILNAGH, Miss Mary Katherine ""Katie""","17","3rd Class Passenger","35851£7 14s 8d","Queenstown","","16"
"247","","GLYNN, Miss Mary Agatha","19","3rd Class Passenger","335677£7 15s","Queenstown","","13"
"248","","GODLEY, Mr George Auguste","38","Engineering Crew","","Southampton","Fireman",""
"249","","GOLD, Mrs Jane Kate Coulson","45","Victualling Crew","","Southampton","Stewardess",""
"250","","GOLDENBERG, Mr Samuel L.","47","1st Class Passenger","17453£89 2s 1d","Cherbourg","","5"
"251","","GOLDENBERG, Mrs Nella","40","1st Class Passenger","17453£89 2s 1d","Cherbourg","","5"
"252","","GOLDSMITH, Mrs Emily Alice","31","3rd Class Passenger","363291£20 10s 6d","Southampton","","C"
"253","","GOLDSMITH, Master Frank John William","9","3rd Class Passenger","363291£20 10s 6d","Southampton","","C"
"254","","GRACIE, Colonel Archibald","53","1st Class Passenger","113780£28 10s","Southampton","Writer","B"
"255","","GRAHAM, Mrs Edith","59","1st Class Passenger","17582£153 9s 3d","Southampton","","3"
"256","","GRAHAM, Miss Margaret Edith","19","1st Class Passenger","17582£153 9s 3d","Southampton","","3"
"257","","GRAHAM, Mr Thomas G.","28","Engineering Crew","","Belfast","Fireman",""
"258","","GREENFIELD, Mrs Blanche","45","1st Class Passenger","17759£63 7s 2d","Cherbourg","","7"
"259","","GREENFIELD, Mr William Bertram","23","1st Class Passenger","17759£63 7s 2d","Cherbourg","","7"
"260","","GREGSON, Miss Mary","44","Victualling Crew","","Southampton","Stewardess",""
"261","","GUY, Mr Elgar John","28","Victualling Crew","","Southampton","Boots","5"
"262","","HAGGAN, Mr John","35","Engineering Crew","","Belfast","Fireman","3"
"263","","HAINES, Mr Albert","31","Deck Crew","","Belfast","Boatswain Mate","9"
"264","","HAKKARAINEN, Mrs Elin Matilda","24","3rd Class Passenger","3101279£15 17s","Southampton","","15"
"265","","HALFORD, Mr Richard","22","Victualling Crew","","Southampton","Steward",""
"266","","HANNAH, Mr Borak (""Hannah Assi Borah"")","27","3rd Class Passenger","2663£7 4s 7d","Cherbourg","","15"
"267","","HANSEN, Mrs Jennie Louise","45","3rd Class Passenger","350026£14 2s 2d","Southampton","","11"
"268","","HARDER, Mr George Achilles","25","1st Class Passenger","11765£55 8s 10d","Cherbourg","Businessman","5"
"269","","HARDER, Mrs Dorothy","21","1st Class Passenger","11765£55 8s 10d","Cherbourg","","5"
"270","","HARDER, Mr William","39","Deck Crew","","Southampton","Window Cleaner","14"
"271","","HARDWICK, Mr Reginald","21","Victualling Crew","","Southampton","Kitchen Porter","11"
"272","","HARDY, Mr John T.","37","Victualling Crew","","Belfast","Chief 2nd Class Steward","D"
"273","","HARPER, Mr Henry Sleeper","48","1st Class Passenger","17572£76 14s 7d","Cherbourg","Of Independent Means","3"
