"","id","Name","Age","Class","Ticket","Embarked","Job","Boat"
"37","","ANDERSSON, Miss Ingeborg Constanzia","9","3rd Class Passenger","347082£31 5s 6d","Southampton","",""
"38","","ANDERSSON, Miss Ebba Iris Alfrida","6","3rd Class Passenger","347082£31 5s 6d","Southampton","",""
"39","","ANDERSSON, Master Sigvard Harald Elias","4","3rd Class Passenger","347082£31 5s 6d","Southampton","",""
"40","","ANDERSSON, Miss Ellis Anna Maria","2","3rd Class Passenger","347082£31 5s 6d","Southampton","",""
"41","","ANDREASSON, Mr Paul Edvin","20","3rd Class Passenger","347466£7 17s 1d","Southampton","General Labourer",""
"42","","ANDREW, Mr Edgar Samuel","17","2nd Class Passenger","231945£11 10s","Southampton","",""
"43","","ANDREW, Mr Frank Thomas","25","2nd Class Passenger","34050£10 10s","Southampton","Miner",""
"44","","ANDREWS, Mr Thomas","39","1st Class PassengerH&W Guarantee Group","112050","Belfast","Shipbuilder",""
"45","","ANGHELOFF, Mr Minko","26","3rd Class Passenger","349202£7 17s 11d","Southampton","General Labourer",""
"46","","ANGLE, Mr William A.","32","2nd Class Passenger","226875£26","Southampton","",""
"47","","ARNOLD-FRANCHI, Mr Josef","25","3rd Class Passenger","349237£17 16s","Southampton","General Labourer",""
"48","","ARNOLD-FRANCHI, Mrs Josefine","18","3rd Class Passenger","349237£17 16s","Southampton","",""
"49","","ARONSSON, Mr Ernst Axel Algot","24","3rd Class Passenger","349911£7 15s 6d","Southampton","General Labourer",""
"50","","ARTAGAVEYTIA, Mr Ramon","71","1st Class Passenger","17609£49 10s 1d","Cherbourg","Businessman","[22]"
"51","","ASHBY, Mr John","57","2nd Class Passenger","244346£13","Southampton","",""
"52","","ASHCROFT, Mr Austin Aloysius","26","Victualling Crew","","Southampton","Clerk",""
"53","","ASHE, Mr Henry Wellesley","41","Victualling Crew","","Southampton","Glory hole steward (3rd class)","[34]"
"54","","ASIM, Mr Adola","35","3rd Class Passenger","3101310£7 1s","Southampton","General Labourer",""
"55","","ASPESLAGH, Mr Georges","26","Restaurant Staff","","Southampton","Assistant Plateman",""
"56","","ASPLUND, Mr Carl Oscar Vilhelm Gustafsson","40","3rd Class Passenger","347077£31 7s 9d","Southampton","General Labourer","[142]"
"57","","ASPLUND, Master Carl Edgar","5","3rd Class Passenger","347077£31 7s 9d","Southampton","",""
"58","","ASPLUND, Master Filip Oscar","13","3rd Class Passenger","347077£31 7s 9d","Southampton","",""
"59","","ASPLUND, Master Clarence Gustaf Hugo","9","3rd Class Passenger","347077£31 7s 9d","Southampton","",""
"60","","ASSAM, Mr Ali","23","3rd Class Passenger","3101309£7 1s","Southampton","General Labourer",""
"61","","ASTOR, Colonel John Jacob","47","1st Class Passenger","17757£247 10s 6d","Cherbourg","Property Developer / Real Estate","[124]"
"62","","ATTALA, Mr Sleiman","27","3rd Class Passenger","2694£7 4s 6d","Cherbourg","Journalist",""
"63","","ATTALAH, Miss Malake","17","3rd Class Passenger","2627£14 9s 2d","Cherbourg","",""
"64","","AUGUSTSSON, Mr Albert","23","3rd Class Passenger","347468£7 17s 1d","Southampton","General Labourer",""
"65","","AYLING, Mr Edwin George","22","Victualling Crew","","Southampton","Assistant Vegetable Cook",""
"66","","ÃDAHL, Mr Nils Martin","23","3rd Class Passenger","7267£9 4s 6d","Southampton","General Labourer",""
"67","","ÃDAHL, Mr Mauritz Nils Martin","30","3rd Class Passenger","7076£7 5s","Southampton","General Labourer","[72]"
"68","","BACCOS, Mr Raffull","20","3rd Class Passenger","2679£7 4s 6d","Cherbourg","Farm Labourer",""
"69","","BACK, Mr Charles Frederick","32","Victualling Crew","","Belfast","Assistant Lounge Steward",""
"70","","BACKSTRÃ¶M, Mr Karl Alfred","32","3rd Class Passenger","3101278£15 17s","Southampton","General Labourer",""
"71","","BADT, Mr Mohamed","40","3rd Class Passenger","2623£7 4s 6d","Cherbourg","Farmer",""
"72","","BAGLEY, Mr Edward Henry","33","Victualling Crew","","Southampton","Saloon Steward",""
"73","","BAILEY, Mr Percy","15","2nd Class Passenger","29108£11 10s","Southampton","Butcher's Assistant",""
"74","","BAILEY, Mr George W.","46","Engineering Crew","","Southampton","Fireman",""
"75","","BAILEY, Mr George Francis","36","Victualling Crew","","Belfast","Saloon Steward","[161]"
"76","","BAINBRIGGE, Mr Charles Robert","23","2nd Class Passenger","31030£10 10s","Southampton","Horse Trainer",""
"77","","BAINES, Mr Richard","24","Engineering Crew","","Southampton","Greaser",""
"78","","BALKIC, Mr Cerin","26","3rd Class Passenger","349248£7 17s 11d","Southampton","General Labourer",""
"79","","BANFI, Sig. Ugo","24","Restaurant Staff","","Southampton","Waiter",""
"80","","BANFIELD, Mr Frederick James","28","2nd Class Passenger","34068£10 10s","Southampton","Miner",""
"81","","BANNON, Mr John","32","Engineering Crew","","Southampton","Greaser",""
"82","","BARBARA, Mrs Catherine David","45","3rd Class Passenger","2691£14 9s 1d","Cherbourg","Housekeeper",""
"83","","BARBARA, Miss Saiide","18","3rd Class Passenger","2691£14 9s 1d","Cherbourg","Housekeeper",""
"84","","BARKER, Mr Albert Vale","19","Victualling Crew","","Southampton","Baker",""
"85","","BARKER, Mr Ernest T.","37","Victualling Crew","","Southampton","Saloon Steward","[159]"
"86","","BARKER, Mr Reginald Lomond","40","Victualling Crew","","Belfast","Purser",""
"87","","BARLOW, Mr Charles","30","Engineering Crew","","Southampton","Fireman",""
"88","","BARLOW, Mr George","36","Victualling Crew","","Southampton","Bed Room Steward",""
"89","","BARNES, Mr Charles","29","Engineering Crew","","Southampton","Fireman",""
"90","","BARNES, Mr J.","41","Engineering Crew","","Southampton","Fireman",""
"91","","BARNES, Mr Frederick","37","Victualling Crew","","Southampton","Baker",""
"92","","BARRATT, Mr Arthur","15","Victualling Crew","","Southampton","Bell Boy",""
"93","","BARRETT, Mr Frederick William","33","Engineering Crew","","Southampton","Fireman",""
"94","","BARRINGER, Mr Arthur William","33","Victualling Crew","","Belfast","Saloon Steward (1st class)",""
"95","","BARROW, Mr Harry","35","Victualling Crew","","Southampton","Butcher",""
"96","","BARROWS, Mr William","32","Victualling Crew","","Southampton","Saloon Steward",""
"97","","BARRY, Miss Julia","26","3rd Class Passenger","330844£7 17s 7d","Queenstown","Housekeeper",""
"98","","BARTON, Mr David John","22","3rd Class Passenger","324669£8 1s","Southampton","General Labourer",""
"99","","BARTON, Mr Sidney John","26","Victualling Crew","","Southampton","3rd Class Steward",""
"100","","BASILICO, Sig. Giovanni","27","Restaurant Staff","","Southampton","Waiter",""
"101","","BATEMAN, Fr Robert James","51","2nd Class Passenger","1166£12 10s 6d","Southampton","Priest / Minister","[174]"
"102","","BAUMANN, Mr John D.","60","1st Class Passenger","17318£25 18s 6d","Cherbourg","Businessman",""
"103","","BAXTER, Mr Quigg Edmond","24","1st Class Passenger","17558£247 10s 5d","Cherbourg","",""
"104","","BAXTER, Mr Harry Ross","51","Victualling Crew","","Southampton","Steward",""
"105","","BAXTER, Mr Thomas Ferguson","48","Victualling Crew","","Southampton","Linen Steward","[235]"
"106","","BAZZI, Sig. Narciso","33","Restaurant Staff","","Southampton","Waiter",""
"107","","BEATTIE, Mr Thomson","36","1st Class Passenger","13050£75 4s 10d","Southampton","Landowner","A[331]"
"108","","BEATTIE, Mr Joseph","35","Engineering Crew","","Belfast","Greaser",""
"109","","BEAUCHAMP, Mr Henry James","28","2nd Class Passenger","244358£26","Southampton","",""
"110","","BEAVAN, Mr William Thomas","18","3rd Class Passenger","323951£8 1s","Southampton","General Labourer",""
"111","","BEDFORD, Mr William Barnett","31","Victualling Crew","","Southampton","Assistant Roast Cook",""
"112","","BEEDEM, Mr George Arthur","34","Victualling Crew","","Southampton","2nd Class Bedroom Steward",""
"113","","BEERE, Mr William","19","Victualling Crew","","Southampton","Kitchen Porter",""
"114","","BELL, Mr Joseph","50","Engineering Crew","","Belfast","Chief Engineer",""
"115","","BENDELL, Mr Frank","24","Engineering Crew","","Southampton","Fireman",""
"116","","BENGTSSON, Mr Johan Viktor","26","3rd Class Passenger","347068£7 15s 6d","Southampton","General Labourer",""
"117","","BENHAM, Mr Frederick","29","Victualling Crew","","Southampton","Saloon Steward",""
"118","","BENNETT, Mr George Alfred","30","Engineering Crew","","Southampton","Fireman",""
"119","","BENVILLE, Mr E.","42","Engineering Crew","","Southampton","Fireman",""
"120","","BERGLUND, Mr Karl Ivar Sven","22","3rd Class Passenger","4348£9 7s","Southampton","General Labourer",""
"121","","BERNARDI, Sig. Battista","22","Restaurant Staff","","Southampton","Assistant Waiter","[215]"
"122","","BERRIMAN, Mr William John","23","2nd Class Passenger","28425£13","Southampton","",""
"123","","BESSANT, Mr William Edward","39","Engineering Crew","","Southampton","Fireman",""
"124","","BESSANT, Mr Edward","31","Victualling Crew","","Southampton","1st class baggage steward",""
"125","","BEST, Mr Alfred Edwin","38","Victualling Crew","","Belfast","Saloon Steward",""
"126","","BETROS, Mr Tannous","20","3rd Class Passenger","2648£7 4s 7d","Cherbourg","Shoemaker",""
"127","","BEUX, Mr David","26","Restaurant Staff","","Southampton","Assistant Waiter",""
"128","","BEVIS, Mr Joseph Henry","22","Engineering Crew","","Southampton","Trimmer",""
"129","","BIDDLECOMBE, Mr Reginald Charles","31","Engineering Crew","","Southampton","Fireman",""
"130","","BIETRIX, Mr George Baptiste","28","Restaurant Staff","","Southampton","Cook",""
"131","","BIGGS, Mr Edward Charles","20","Engineering Crew","","Southampton","Fireman",""
"132","","BILLOWS, Mr James","20","Engineering Crew","","Southampton","Trimmer",""
"133","","BIRKELAND, Mr Hans Martin Monsen","21","3rd Class Passenger","312992£7 15s 6d","Southampton","Seaman",""
"134","","BIRNBAUM, Mr Jakob","24","1st Class Passenger","13905£26","Cherbourg","","[148]"
"135","","BISHOP, Mr Walter Alexander","33","Victualling Crew","","Belfast","1st Class Bedroom Steward",""
"136","","BJÃ¶RKLUND, Mr Ernst Herbert","18","3rd Class Passenger","347090£7 15s","Southampton","General Labourer",""
"137","g class=""profile"" src=""""/>","BLACK, Mr Alexander","28","Engineering Crew","","Southampton","Fireman",""
"138","","BLACK, Mr D.","41","Engineering Crew","","Southampton","Fireman",""
"139","","BLACKMAN, Mr Albert Edward","23","Engineering Crew","","Southampton","Fireman",""
"140","","BLACKWELL, Mr Stephen Weart","45","1st Class Passenger","113784£35 10s","Southampton","",""
"141","","BLAKE, Mr Seaton","26","Engineering Crew","","Belfast","Mess Steward",""
"142","","BLAKE, Mr Thomas","36","Engineering Crew","","Southampton","Fireman",""
"143","","BLANEY, Mr James","32","Engineering Crew","","Southampton","Fireman",""
"144","","BLANN, Mr Eustace Horatius","21","Engineering Crew","","Southampton","Fireman",""
"145","","BLUMET, Mr Jean Baptiste","26","Restaurant Staff","","Southampton","Pantryman",""
"146","","BOCHATAY, Mr Alexis Joseph","30","Victualling Crew","","Southampton","Chef",""
"147","","BOCHET, Mr Pierre Giuseppe","","Restaurant Staff","","Southampton","Waiter",""
"148","","BOGIE, Mr Norman Leslie","29","Victualling Crew","","Southampton","Bed Room Steward","[274]"
"149","","BOLHUIS, Mr Hendrik","21","Restaurant Staff","","Southampton","Larder Cook",""
"150","","BOND, Mr William John","40","Victualling Crew","","Belfast","Bed Room Steward",""
"151","","BOOTHBY, Mr W.","36","Victualling Crew","","Southampton","Bed Room Steward","[107]"
"152","","BOREBANK, Mr John James","42","1st Class Passenger","110489£26 11s","Southampton","Property Developer / Real Estate",""
"153","","BOSTANDYEFF, Mr Guentcho","26","3rd Class Passenger","349224£7 17s 11d","Southampton","General Labourer",""
"154","","BOSTON, Mr William John","31","Victualling Crew","","Belfast","Assistant Deck Steward (1st Class)",""
"155","","BOTSFORD, Mr William Hull","25","2nd Class Passenger","237670£13","Southampton","",""
"156","","BOTT, Mr William Thomas","44","Engineering Crew","","Southampton","Greaser",""
"157","","BOUGHTON, Mr Bernard John","24","Victualling Crew","","Southampton","First class saloon steward",""
"158","","BOULOS, Mrs Sultana","40","3rd Class Passenger","2678£15 4s 11d","Cherbourg","",""
"159","","BOULOS, Miss Nourelain","7","3rd Class Passenger","2678£15 4s 11d","Cherbourg","",""
"160","","BOULOS, Master Akar","9","3rd Class Passenger","2678£15 4s 11d","Cherbourg","",""
"161","","BOURKE, Mr John","42","3rd Class Passenger","364849£15 10s","Queenstown","Farmer",""
"162","","BOURKE, Mrs Catherine","32","3rd Class Passenger","364849£15 10s","Queenstown","Housewife",""
"163","","BOURKE, Miss Mary","40","3rd Class Passenger","364848£7 15s","Queenstown","",""
"164","","BOWEN, Mr David John ""Dai""","26","3rd Class Passenger","54636£16 2s","Southampton","Pugilist",""
"165","","BOWENUR, Mr Solomon","42","2nd Class Passenger","211535£13","Southampton","Merchant",""
"166","","BOYD, Mr John","35","Victualling Crew","","Southampton","Saloon Steward",""
"167","","BOYES, Mr John Henry","36","Victualling Crew","","Belfast","Saloon Steward (1st class)",""
"168","","BRACKEN, Mr James H.","29","2nd Class Passenger","220367£13","Southampton","Stockman",""
"169","","BRADLEY, Mr T.","29","Deck Crew","","Southampton","Able Seaman",""
"170","","BRADLEY, Mr Patrick Joseph","39","Engineering Crew","","Southampton","Fireman",""
"171","","BRADSHAW, Mr J. A.","43","Victualling Crew","","Southampton","Plate Steward",""
"172","","BRADY, Mr John Bertram","41","1st Class Passenger","113054£30 10s","Southampton","",""
"173","","BRAF, Miss Elin Ester Maria","20","3rd Class Passenger","347471£7 17s 1d","Southampton","Servant",""
"174","","BRAILEY, Mr W. Theodore Ronald","24","2nd Class PassengerMusician","250654","Southampton","Musician",""
"175","","BRANDEIS, Mr Emil","48","1st Class Passenger","17591£50 9s 11d","Cherbourg","","[208]"
"176","","BRAUND, Mr Lewis Richard","29","3rd Class Passenger","3460£7 11d","Southampton","Farm Labourer",""
"177","","BRAUND, Mr Owen Harris","22","3rd Class Passenger","21171£7 5s","Southampton","Ironmonger",""
"178","","BREWE, Dr Arthur Jackson","45","1st Class Passenger","112379£39 12s","Cherbourg","",""
"179","","BREWER, Mr Henry (""Harry"")","30","Engineering Crew","","Southampton","Trimmer",""
"180","","BREWSTER, Mr George H.","48","Victualling Crew","","Belfast","Bed Room Steward",""
"181","","BRIANT, Mr Albert","34","Engineering Crew","","Southampton","Greaser",""
"182","","BRICOUX, Mr Roger Marie","20","2nd Class PassengerMusician","250654","Southampton","Musician",""
"183","","BRISTOW, Mr Robert Charles","31","Victualling Crew","","Southampton","Steward","[290]"
"184","","BRISTOW, Mr Harry","33","Victualling Crew","","Southampton","Saloon Steward",""
"185","","BRITO, Mr JosÃ© Joaquim de","32","2nd Class Passenger","244360£13","Southampton","",""
"186","","BROBECK, Mr Karl Rudolf","22","3rd Class Passenger","350045£7 15s 11d","Southampton","Farm Labourer",""
"187","","BROCKLEBANK, Mr William Alfred","35","3rd Class Passenger","364512£8 1s","Southampton","Groom",""
"188","","BROOKMAN, Mr John","27","Victualling Crew","","Southampton","Steward",""
"189","","BROOKS, Mr J.","25","Engineering Crew","","Southampton","Trimmer",""
"190","","BROOM, Mr Herbert George","33","Victualling Crew","","Belfast","Bath Steward",""
"191","","BROOME, Mr Athol Frederick","30","Victualling Crew","","Southampton","Verandah Steward",""
"192","","BROWN, Mr Thomas William Solomon","60","2nd Class Passenger","29750£39","Southampton","Hotelier",""
"193","","BROWN, Mr John","25","Engineering Crew","","Southampton","Fireman","[267]"
"194","","BROWN, Mr Joseph James","25","Engineering Crew","","Southampton","Fireman",""
"195","","BROWN, Mr Walter James","28","Victualling Crew","","Belfast","Saloon Steward",""
"196","","BRYHL, Mr Kurt Arnold Gottfrid","25","2nd Class Passenger","236853£26","Southampton","",""
"197","","BUCKLEY, Miss Katherine","22","3rd Class Passenger","329944£7 5s 8d","Queenstown","","[299]"
"198","","BUCKLEY, Mr H. E.","34","Victualling Crew","","Southampton","Assistant Vegetable Cook",""
"199","","BULL, Mr W.","30","Victualling Crew","","Southampton","Scullion",""
"200","","BULLEY, Mr Henry Ashburnham","21","Victualling Crew","","Southampton","Boots Steward (2nd class)",""
"201","","BUNNELL, Mr Wilfred James","20","Victualling Crew","","Belfast","Plate Steward",""
"202","","BURKE, Mr Jeremiah","19","3rd Class Passenger","365222£6 15s","Queenstown","Farm Labourer",""
"203","","BURKE, Mr Richard Edward","30","Victualling Crew","","Belfast","Lounge Steward",""
"204","","BURNS, Miss Mary Delia","17","3rd Class Passenger","330963£7 17s 7d","Queenstown","",""
"205","","BURR, Mr Ewart Sydenham","29","Victualling Crew","","Southampton","Saloon Steward",""
"206","","BURROUGHS, Mr Arthur Peckham","35","Engineering Crew","","Southampton","Fireman",""
"207","","BURTON, Mr Edward John","32","Engineering Crew","","Southampton","Fireman",""
"208","","BUTLER, Mr Reginald Fenton","25","2nd Class Passenger","234686£13","Southampton","Mechanical Engineer","[97]"
"209","","BUTT, Major Archibald Willingham","46","1st Class Passenger","113050£26 11s","Southampton","Military",""
"210","","BUTT, Mr William John","30","Engineering Crew","","Southampton","Fireman","[77]"
"211","","BUTT, Mr Robert Henry","21","Victualling Crew","","Southampton","Saloon Steward","[10]"
"212","","BUTTERWORTH, Mr John","23","Victualling Crew","","Southampton","Saloon Steward","[116]"
"213","","BYLES, Fr Thomas Roussel Davids","42","2nd Class Passenger","244310£13","Southampton","Priest / Minister",""
"214","","BYRNE, Mr J. E.","38","Victualling Crew","","Southampton","Bed Room Steward",""
"215","","CACIC, Mr Jego Grga","18","3rd Class Passenger","315091£8 13s 3d","Southampton","Farmer",""
"216","","CACIC, Mr Luka","38","3rd Class Passenger","315089£8 13s 3d","Southampton","Farmer",""
"217","","CACIC, Miss Marija","30","3rd Class Passenger","315084£8 13s 3d","Southampton","Farm Labourer",""
"218","","CACIC, Miss Manda","21","3rd Class Passenger","315087£8 13s 3d","Southampton","Farm Labourer",""
"219","","CAIRNS, Mr Alexander Milne","28","1st Class PassengerServant","113798£31","Southampton","Servant",""
"220","","CALDERWOOD, Mr Hugh","30","Engineering Crew","","Belfast","Trimmer",""
"221","","CALIC, Mr Petar","17","3rd Class Passenger","315086£8 13s 3d","Southampton","Farm Labourer",""
"222","","CALIC, Mr Jovo","17","3rd Class Passenger","315093£8 13s 3d","Southampton","",""
"223","","CAMPBELL, Mr William Henry","21","2nd Class PassengerH&W Guarantee Group","239853","Belfast","",""
"224","","CAMPBELL, Mr Donald S.","25","Victualling Crew","","Southampton","3rd Class Clerk",""
"225","","CANAVAN, Miss Mary","22","3rd Class Passenger","364846£7 15s","Queenstown","",""
"226","","CANAVAN, Mr Patrick","21","3rd Class Passenger","364858£7 15s","Queenstown","General Labourer",""
"227","","CANN, Mr Ernest Charles","21","3rd Class Passenger","2152£8 1s","Southampton","Miner",""
"228","","CANNER, Mr J.","40","Engineering Crew","","Southampton","Fireman",""
"229","","CARAM, Mr Joseph","28","3rd Class Passenger","2689£14 9s 2d","Cherbourg","Merchant",""
"230","","CARAM, Mrs Maria Elias","18","3rd Class Passenger","2689£14 9s 2d","Cherbourg","Housekeeper",""
"231","","CARBINES, Mr William","19","2nd Class Passenger","28424£13","Southampton","Miner","[18]"
"232","","CARLSSON, Mr Frans Olof","33","1st Class Passenger","695£5","Southampton","",""
"233","","CARLSSON, Mr Carl Robert","24","3rd Class Passenger","350409£7 17s 1d","Southampton","General Labourer",""
"234","","CARLSSON, Mr August Sigfrid","28","3rd Class Passenger","350042£7 15s 11d","Southampton","Farmer",""
"235","","CARNEY, Mr William","31","Victualling Crew","","Southampton","Lift Steward","[251]"
"236","","CARR, Miss Jane","45","3rd Class Passenger","368364£7 15s","Queenstown","",""
"237","","CARR, Mr Richard Stephen","37","Engineering Crew","","Southampton","Trimmer",""
"238","","CARRAÃº-ESTEVES, Mr JosÃ© Pedro","17","1st Class Passenger","113059£47 2s","Southampton","",""
"239","","CARRAU, Mr Francisco Mauro Severiano","27","1st Class Passenger","113059£47 2s","Southampton","",""
"240","","CARTER, Fr Ernest Courtenay","54","2nd Class Passenger","244252£26","Southampton","Priest / Minister",""
"241","","CARTER, Mrs Lilian","45","2nd Class Passenger","244252£26","Southampton","",""
"242","","CARTER (BALL), Mr James (W.)","46","Engineering Crew","","Southampton","Fireman",""
"243","","CARTWRIGHT, Mr James Edward","32","Victualling Crew","","Belfast","Saloon Steward","[320]"
"244","","CARVER, Mr Alfred John","28","3rd Class Passenger","370160£7 5s","Southampton","Seaman",""
"245","","CASALI, Sig. Giulio","32","Restaurant Staff","","Southampton","Waiter",""
"246","","CASE, Mr Howard Brown","49","1st Class Passenger","19924£26","Southampton","",""
"247","","CASEY, Mr Thomas","28","Engineering Crew","","Southampton","Trimmer",""
"248","","CASSWILL, Mr Charles","34","Victualling Crew","","Southampton","Saloon Steward",""
"249","","CASTLEMAN, Mr Edward","37","Engineering Crew","","Southampton","Greaser",""
"250","","CAUNT, Mr William Ewart","27","Victualling Crew","","Southampton","Grill Cook",""
"251","","CAVE, Mr Herbert","34","Victualling Crew","","Belfast","Saloon Steward","[218]"
"252","","CAVENDISH, Mr Tyrell William","36","1st Class Passenger","19877£78 17s","Southampton","","[172]"
"253","","CECIL, Mr Charles Thomas","21","Victualling Crew","","Southampton","Steward",""
"254","","CELOTTI, Mr Francesco","24","3rd Class Passenger","343275£8 1s","Southampton","Stoker",""
"255","","CHABOISSON, Mr Adrien Finnin","25","Restaurant Staff","","Southampton","Roast Cook",""
"256","","CHAFFEE, Mr Herbert Fuller","46","1st Class Passenger","5734£61 3s 6d","Southampton","",""
"257","","CHAPMAN, Mr Charles Henry","52","2nd Class Passenger","248731£13 10s","Southampton","","[130]"
"258","","CHAPMAN, Mr John Henry","36","2nd Class Passenger","29037£26","Southampton","Farmer","[17]"
"259","","CHAPMAN, Mrs Sara Elizabeth","28","2nd Class Passenger","29037£26","Southampton","",""
"260","","CHARMAN, Mr John James","25","Victualling Crew","","Southampton","Saloon Steward (2nd class)",""
"261","","CHARTERS, Mr David","20","3rd Class Passenger","13032£7 14s 8d","Queenstown","General Labourer",""
"262","","CHEHAB/SHIHAB, Mr Emir Farres","29","3rd Class Passenger","2631£7 4s 6d","Cherbourg","General Labourer",""
"263","","CHERRETT, Mr William Victor","24","Engineering Crew","","Southampton","Fireman",""
"264","","CHEVERTON, Mr William Frederick","27","Victualling Crew","","Belfast","Saloon Steward","[334]"
"265","","CHISHOLM, Mr Roderick Robert Crispin","40","1st Class PassengerH&W Guarantee Group","112051","Belfast","Draughtsman",""
"266","","CHISNALL, Mr George Alexander","35","Engineering Crew","","Belfast","Boilermaker","[111]"
"267","","CHITTY, Mr Archibald George","28","Victualling Crew","","Southampton","Steward",""
"268","","CHITTY, Mr George Henry","52","Victualling Crew","","Southampton","Baker",""
"269","","CHORLEY, Mr John Henry","25","Engineering Crew","","Southampton","Fireman",""
"270","","CHRISTMANN, Mr Emil","29","3rd Class Passenger","343276£8 1s","Southampton","Clerk",""
"271","","CHRISTMAS, Mr Herbert Harry","33","Victualling Crew","","Southampton","Assistant Saloon Steward (2nd class)",""
"272","","CHRONOPOULOS, Mr Apostolos M.","26","3rd Class Passenger","2680£14 9s 1d","Cherbourg","General Labourer",""
"273","","CHRONOPOULOS, Mr Dimitrios M.","21","3rd Class Passenger","2680£14 9s 1d","Cherbourg","General Labourer",""
"274","","CLARK, Mr Walter Miller","27","1st Class Passenger","13508£136 15s 7d","Cherbourg","",""
"275","","CLARKE, Mr Charles Valentine","29","2nd Class Passenger","2003£26","Southampton","Dairy Worker",""
"276","","CLARKE, Mr John Frederick Preston","30","2nd Class PassengerMusician","250654","Southampton","Musician","[202]"
"277","","CLENCH, Mr George","31","Deck Crew","","Southampton","Able Seaman",""
"278","","CLIFFORD, Mr George Quincy","40","1st Class Passenger","110465£52","Southampton","",""
"279","","COE, Mr Harry","21","Engineering Crew","","Southampton","Trimmer",""
"280","","COELHO, Mr Domingos Fernandeo","20","3rd Class Passenger","3101307£7 1s","Southampton","General Labourer",""
"281","","COLBERT, Mr Patrick","24","3rd Class Passenger","371109£7 5s","Queenstown","General Labourer",""
